,Empresas,Cargos,Salarios,Ciudades,Urls
7699,ALFA INGENIEROS S.A.S,Administrador base de datos - experiencia tunning oracle,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/administrador-base-de-datos-experiencia-tunning-oracle/1885336827
7700,CFA - Cooperativa Financiera de Antioquia,Cajero santa fe de antioquia,"$2 a $2,5 millones",Santafé de Antioquia,https://www.elempleo.com/co/ofertas-trabajo/cajero-santa-fe-de-antioquia/1885197960
7701,ALFA INGENIEROS S.A.S,Especialista de base de datos (dba) bilingüe,"$5,5 a $6 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-base-de-datos-dba-bilingue/1885532155
7702,Elperito.com,Perito asistente,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/perito-asistente/1885586747
7703,ALFA INGENIEROS S.A.S,Especialista base de datos- tunning oracle,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/especialista-base-de-datos-tunning-oracle/1885345535
7704,Maxitempo,Auxiliar de mantenimiento,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-mantenimiento/1885613919
7705,Empresa confidencial,Técnico en sistemas - armenia,"$1 a $1,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-sistemas-armenia/1885613955
7706,Servicio de empleo Comfama,Analista de patronaje 1625952143.6,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-de-patronaje-16259521436/1885613943
7707,Universidad Cooperativa de Colombia,Profesor(a) hora catedra para el programa ingenieria civil campus neiva,"$1 a $1,5 millones",Neiva,https://www.elempleo.com/co/ofertas-trabajo/profesora-hora-catedra-para-el-programa-ingenieria-civil-campus-neiva/1885590409
7708,CFA - Cooperativa Financiera de Antioquia,Supernumerario oficina belen,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/supernumerario-oficina-belen/1885278624
7709,CFA - Cooperativa Financiera de Antioquia,Supernumerario área metropolitana norte,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/supernumerario-area-metropolitana-norte/1885271737
7710,MEDICALL TALENTO HUMANO S.A.S.,Rahabilitador oral,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/rahabilitador-oral/1885613952
7711,CFA - Cooperativa Financiera de Antioquia,Asesor comercial financiero viajero,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-financiero-viajero/1885263557
7712,CFA - Cooperativa Financiera de Antioquia,Asesor comercial segovia - antioquia,"$2 a $2,5 millones",Segovia,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-segovia-antioquia/1885197902
7713,CFA - Cooperativa Financiera de Antioquia,Asesor comercial ciudad bolivar,"$2 a $2,5 millones",Ciudad Bolívar,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-ciudad-bolivar/1885201497
7714,PROCAPS S.A.,Analista fisicoquímico,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-fisicoquimico/1885204025
7715,CFA - Cooperativa Financiera de Antioquia,Asesor comercial microfinanzas caucasia,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-microfinanzas-caucasia/1885211572
7716,TRANSITEX COLOMBIA SAS,Ejecutivo comercial-agente de carga,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercialagente-de-carga/1885344338
7717,TRANSITEX COLOMBIA SAS,Operativo agente de carga - cartagena,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/operativo-agente-de-carga-cartagena/1885331831
7718,Empresa confidencial,Administrador logistico y de abastecimiento,"$10 a $12,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/administrador-logistico-y-de-abastecimiento/1885613926
7719,Empresa confidencial,Analista en licitaciones,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-en-licitaciones/1885613927
7720,Servicio de empleo Comfama,Asesor/a marketplace 1626208590.32,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-marketplace-162620859032/1885613942
7721,Empresa confidencial,Auxiliar de cocina urgente/n,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina-urgente-n/1885613540
7722,Empresa confidencial,Auxiliar de enfermeria - armenia,"$1 a $1,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-armenia/1885613959
7723,UNIMINUTO,Coordinador educacion continua_pereira,"$2,5 a $3 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/coordinador-educacion-continuapereira/1885614018
7724,Servicio de empleo Comfama,Mercaderista e impulsador/a para medellín 1626332467.5,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/mercaderista-e-impulsador-a-para-medellin-16263324675/1885613979
7725,Empresa confidencial,Analista operativo - aduanas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-operativo-aduanas/1885614008
7726,Empresa confidencial,Asistente administrativa bilingüe,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-administrativa-bilingue/1885614012
7727,Empresa confidencial,Lider contact center,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-contact-center/1885614001
7728,Empresa confidencial,Enfermero jefe -armenia,"$2 a $2,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe-armenia/1885613966
7729,ASISTALENTO SAS,Promotor,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/promotor/1885613984
7730,Empresa confidencial,Asesor comercial,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial/1885613999
7731,Empresa confidencial,Auxiliar contable,"$1 a $1,5 millones",Soacha,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613975
