,Empresas,Cargos,Salarios,Ciudades,Urls
0,Empresa confidencial,Enfermero jefe -,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe/1885612869
1,Arturo Calle,Auxiliar punto de venta,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-punto-de-venta/1885612870
2,WEG,Auxiliar mecánico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-mecanico/1885612871
3,Empresa confidencial,Profesional comercial y de mercadeo,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-comercial-y-de-mercadeo/1885612877
4,Empresa confidencial,Analista de datos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-datos/1885538749
5,SOCIA BPO S.A.S,Auxiliar compras,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-compras/1885612884
6,QUIRUMEDICAS LTDA,Analista de planeación de producción - sector farmacéutico.,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-planeacion-de-produccion-sector-farmaceutico/1885612891
7,REPRESENTACIONES CONTINENTAL S.A.S,Auxiliar administrativo contable,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo-contable/1885612885
8,S.O.S.,Analista de recobros - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-recobros-cali/1885612925
9,Servicio de empleo Comfama,Cocinero/a 1626117314.12,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/cocinero-a-162611731412/1885612923
10,ENLACE TOTAL DE LA COSTA S.A.S.,Auxiliar administrativa cartagena,"$1 a $1,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-cartagena/1885369567
11,Empresa confidencial,Ingeniero de control y automatizacion,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-control-y-automatizacion/1885612905
12,BUREAU VERITAS,Auditor de centros de servicio - bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-de-centros-de-servicio-bogota/1885612896
13,Servicio de empleo Comfama,Coordinador/a de producción 1626043662.53,"$1,5 a $2 millones",La Estrella,https://www.elempleo.com/co/ofertas-trabajo/coordinador-a-de-produccion-162604366253/1885612915
14,Empresa confidencial,Aprendiz contable,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-contable/1885612922
15,Empresa confidencial,Analista de comercio exterior,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-comercio-exterior/1885612912
16,Empresa confidencial,Auxiliar de nomina y contabilidad,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina-y-contabilidad/1885612956
17,Empresa confidencial,Asesor de ventas tecnologia bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-ventas-tecnologia-bogota/1885612929
18,COLSUBSIDIO,Ejecutivo de aseguramiento retencion empresarial urgente,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-aseguramiento-retencion-empresarial-urgente/1885612933
19,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
20,Empresa confidencial,Auxiliar video cctv,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-video-cctv/1885612943
21,Servicio de empleo Comfama,Líder de desarrollo 1626040293.141,$6 a $8 millones,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-desarrollo-1626040293141/1885612934
22,Empresa confidencial,Ingeniero networking,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-networking/1885612951
23,NOVATEC,Reclutador ti,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/reclutador-ti/1885612954
24,Inmaculada Concepcion,Auxiliar de cocina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina/1885612948
25,ADECCO COLOMBIA S A,Especialista de atraccion del talento humano (cota) con ruta,"$2,5 a $3 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-atraccion-del-talento-humano-cota-con-ruta/1885612983
26,Empresa confidencial,Supervisor de transporte la lucha,"$1 a $1,5 millones",Sahagún,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-transporte-la-lucha/1885356387
27,Grupo Good,Conductor de obra -pereira,"$1 a $1,5 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/conductor-de-obra-pereira/1885612973
28,UNIVERSIDAD DE LA SALLE,Ingeniero electricista,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-electricista/1885612970
29,CHEIL COLOMBIA,Project manager,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1885612965
30,La Comuna Seguros Ltda.,Asesor de seguros,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-seguros/1885612964
31,LILIPINK,"Líder o administradora punto de venta retail (exp. en tienda de ropa, calzado, accesorios)","$1,5 a $2 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/lider-o-administradora-punto-de-venta-retail-exp-en-tienda-de-ropa-calzado-accesorios/1885612967
32,PONTIFICIA UNIVERSID,Auxiliar de pagos,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-pagos/1885612966
33,INSTITUTO DE ESTUDIOS CIENTIFICOS EN ODONTOLOGIA IECO S.A.,Coordinador ips odontologica,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ips-odontologica/1884819390
34,Empresa confidencial,"Analista de viabilidad - bogotá d,c",Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-viabilidad-bogota-dc/1885507572
35,CREDICORP CAPITAL COLOMBIA,Analista sr. recaudos y pagos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-sr-recaudos-y-pagos/1885554387
36,NTT DATA Colombia,Desarrollador terraform iac azure,"$10 a $12,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-terraform-iac-azure/1885612863
37,SUSTS Colombia Ltda.,Practicante tecnico o tecnólogo - tecnología y sistemas bogota,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-tecnico-o-tecnologo-tecnologia-y-sistemas-bogota/1885613220
38,KIBERNUM SAS,Analista tecnico/fullstack,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-tecnico-fullstack/1885613215
39,Empresa confidencial,Consultor en sistemas integrados de gestión,"$4 a $4,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-sistemas-integrados-de-gestion/1885613213
40,CEDICAF S.A,Técnico en atención pre hospitalario,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-atencion-pre-hospitalario/1885612982
41,Empresa confidencial,Coordinador administrador en salud - pasto,$6 a $8 millones,Pasto,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrador-en-salud-pasto/1885613219
42,Universidad de la Sabana,Gestor de proyectos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-proyectos/1885613143
43,Empresa confidencial,Jefe de importaciones y logistica,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-importaciones-y-logistica/1885613223
44,Asesoftware S.A.S,Auxiliar administrativo,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo/1885613118
45,MASSY ENERGY COLOMBIA S.A.S,Planeador de mantenimiento- parada de planta,"$5,5 a $6 millones",Riohacha,https://www.elempleo.com/co/ofertas-trabajo/planeador-de-mantenimiento-parada-de-planta/1885613225
46,UNIVERSIDAD ICESI,Auxiliar administrativa (o) start up y aceleración - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-o-start-up-y-aceleracion-cali/1885613222
47,Empresa confidencial,¡reconocida multinacional busca un/a analista de selección bilingüe!,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-busca-un-a-analista-de-seleccion-bilingue/1885609693
48,Listos S.A.S,Inspector de calidad o laboratorio,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-calidad-o-laboratorio/1885613228
49,SERVICIOS Y ASESORIAS,Director técnico,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico/1885613268
50,PERIFERIA IT CORP SAS,Consultor/a sql server - sas,"$5,5 a $6 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-a-sql-server-sas/1885613285
51,UNIVERSIDAD SANTO TOMAS,Auxiliar jardinero,Menos de $1 millón,Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-jardinero/1884636980
52,Empresa confidencial,Odontologo director comercial,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/odontologo-director-comercial/1885613237
53,Comestibles Ricos S.A,Supervisor de ventas tat- chia,Salario a convenir,Chía,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-ventas-tat-chia/1885613238
54,MANPOWER,Analista contable - experiencia en fiduciarias,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-experiencia-en-fiduciarias/1885613232
55,Empresa confidencial,Enfermera (o) soporte y capacitación historia clinica sistematizada,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermera-o-soporte-y-capacitacion-historia-clinica-sistematizada/1885613235
56,ADECCO COLOMBIA S A,Analista de investigación y desarrollo de productos,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-investigacion-y-desarrollo-de-productos/1885613276
57,Empresa confidencial,Practicante de psicología,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-de-psicologia/1885613272
58,Sinergy & Lowells,Analista soporte lt/ calidad 27001,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-soporte-lt--calidad-27001/1885613296
59,Servicio de empleo Comfama,Analista de compras y logística con licencia b1 para guarne 1626313558.8,"$1,5 a $2 millones",Guarne,https://www.elempleo.com/co/ofertas-trabajo/analista-de-compras-y-logistica-con-licencia-b1-para-guarne-16263135588/1885613292
60,PARQUE EXPLORA,Profesional diseño industrial,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/profesional-diseno-industrial/1885613253
61,NUEVA EPS S.A,Coordinador de oficina - armenia-rs-012356,"$3 a $3,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-oficina-armeniars012356/1885613308
62,Empresa confidencial,Gerente administrativo y comercial,Salario a convenir,Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/gerente-administrativo-y-comercial/1885613264
63,ADECCO COLOMBIA S A,Enfermero jefe de cultura y formacion,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe-de-cultura-y-formacion/1885613250
64,Nae,Auxiliar contable,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613280
65,Empresa confidencial,Montacarguista,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/montacarguista/1885613252
66,Empresa confidencial,We're looking for a bilingual quality analyst in barranquilla!,"$2 a $2,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/were-looking-for-a-bilingual-quality-analyst-in-barranquilla/1885613297
67,SMART CONSULTING AND SERVICE LIMITADA,Comercial ejecutivo,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-ejecutivo/1885613290
68,Empresa confidencial,Asistente administrativo sogomaso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-administrativo-sogomaso/1885613289
69,Empresa confidencial,Asesor comercial medicina prepagada,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-medicina-prepagada/1885613256
70,MEDICALL TALENTO HUMANO S.A.S.,Enfermera de gestion del riesgo,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermera-de-gestion-del-riesgo/1885613301
71,TALYCAP GLOBAL SAS,Comercial it,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-it/1885613306
72,GRUPO COOMEVA,Asesor/a integral pereira,"$1,5 a $2 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-integral-pereira/1885613314
73,SYNERGY PARTNERS S.A.S,Operador de planta,"$1 a $1,5 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/operador-de-planta/1885613317
74,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885613320
75,Listos S.A.S,Ingeniero sst,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-sst/1885613319
76,Empresa confidencial,Auditor senior,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-senior/1885613323
77,CONSTRUCTORA BOLIVAR,Almacenista de construcción- cajica,Salario a convenir,Cajicá,https://www.elempleo.com/co/ofertas-trabajo/almacenista-de-construccion-cajica/1885613316
78,Empresa confidencial,Asesor comercial interno barrancabermeja,"$1,5 a $2 millones",Barrancabermeja,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-interno-barrancabermeja/1885177854
79,Empresa confidencial,Asesor comercial pac- 12302-manizales,"$1,5 a $2 millones",Manizales,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-pac-12302manizales/1885613342
80,Empresa confidencial,Tecnico de soporte sogamoso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sogamoso/1885613346
81,DOBLE ALCA SAS,"Analista logistico calle 80, funza, madrid, mosquera","$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-logistico-calle-80-funza-madrid-mosquera/1885613348
82,MEDICALL TALENTO HUMANO S.A.S.,Auxiliar de admisiones,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-admisiones/1885613332
83,Servicio de empleo Comfama,Analista contable 1626037973.42,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-162603797342/1885613340
84,Empresa confidencial,Auditor academico,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-academico/1885613336
85,Listos S.A.S,Administrador de punto de venta cartagena,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-punto-de-venta-cartagena/1885613330
86,Empresa confidencial,Auxiliar de mantenimiento - mecanico,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-mantenimiento-mecanico/1885613562
87,Empresa confidencial,Auxiliar de contabilidad,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-contabilidad/1885613563
88,Empresa confidencial,Aprendiz sena contabilidad (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-contabilidad-bogota/1885613545
89,Zemsania Colombia S.A.S,Gerente de proyectos ti ecommerce - hibrido bogotá,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gerente-de-proyectos-ti-ecommerce-hibrido-bogota/1885613543
90,AGENCIA DE EMPLEO CAFAM,Auxiliar de farmacia,"$1,5 a $2 millones",Chía,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-farmacia/1885613379
91,GI GROUP COLOMBIA S.A.S,Auxiliar comercio exterior - ipiales,"$1 a $1,5 millones",Ipiales,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-comercio-exterior-ipiales/1885613555
92,Empresa confidencial,Aprendiz sena gestión administrativa (bogotá),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-gestion-administrativa-bogota/1885613542
93,Javesalud,Líder de bacteriología ( toma de muestras ) - cali,"$2,5 a $3 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/lider-de-bacteriologia-toma-de-muestras-cali/1885603707
94,Promotora apartamentos Dann,Auxiliar de nomina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina/1885613571
95,Empresa confidencial,Director financiero,$8 a $10 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-financiero/1885613579
96,Empresa confidencial,Coordinador administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrativo/1885613586
97,EUSALUD S.A.,Auxiliar de enfermeria en hospitalización,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-en-hospitalizacion/1885613582
98,Empresa confidencial,Lijadores,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lijadores/1885613589
99,SUPERNUMERARIOS S.A.,"Meseros - cajicá, chía","$1 a $1,5 millones",Cajicá,https://www.elempleo.com/co/ofertas-trabajo/meseros-cajica-chia/1885613590
100,En Tienda Distribuciones Ltda.,Asesora vendedora tat,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesora-vendedora-tat/1885613580
101,Empresa confidencial,Auxiliar de soporte técnico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-soporte-tecnico/1885613596
102,PRODESEG S.A.,Ingeniero de proyectos,"$2 a $2,5 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-proyectos/1885613526
103,Empresa confidencial,Rector educativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/rector-educativo/1885613583
104,ADECCO COLOMBIA S A,"Aprendiz sena o practicante de tecnólogo industrial, producción, químico, calidad - o afines, bogotá","$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-o-practicante-de-tecnologo-industrial-produccion-quimico-calidad-o-afines-bogota/1885613593
105,Empresa confidencial,Rs-012325 - asesor de servicio al cliente - dibulla,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/rs012325-asesor-de-servicio-al-cliente-dibulla/1885613584
106,COLSUBSIDIO,Auxiliar oficina i - bogota (alimentos y bebidas),"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-oficina-i-bogota-alimentos-y-bebidas/1885613599
107,Empresa confidencial,Profesionales de salud - teletrabajo (urgente - contratación inmediata),"$2 a $2,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/profesionales-de-salud-teletrabajo-urgente-contratacion-inmediata/1885613624
108,Empresa confidencial,Visitador médico bogotá,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/visitador-medico-bogota/1885613619
109,MEDICALL TALENTO HUMANO S.A.S.,Medico consulta externa sur de bogotá,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/medico-consulta-externa-sur-de-bogota/1885613612
110,CASALUKER,Ayudante logistico-pereira,"$1 a $1,5 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/ayudante-logisticopereira/1885613613
111,S.O.S.,Asesor comercial - popayán,"$1 a $1,5 millones",Popayán,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-popayan/1885613616
112,S.O.S.,Asesor de servicios integrados - popayan,"$1 a $1,5 millones",Popayán,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-servicios-integrados-popayan/1885613617
113,R.A. MOTOS SAS,Auxiliar contable,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613609
114,SUMMAR PRODUCTIVIDAD S.A.S,Analista contable bilingüe,"$4,5 a $5,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-bilingue/1885613610
115,REDCOL S.A.S,Docente física/science,"$1,5 a $2 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/docente-fisica-science/1885613629
116,CONFIAR,Asesor comercial financiero - paipa (boyacá),"$1,5 a $2 millones",Paipa,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-financiero-paipa-boyaca/1885573530
117,Grupo Good,Ayudante de fotografía - bogota,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ayudante-de-fotografia-bogota/1885318455
118,Tecnoquimicas,Representante de ventas detallistas- tat medellin,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/representante-de-ventas-detallistas-tat-medellin/1885613632
119,GS,Asistente contable presencial | excel intermedio-avanzado,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-contable-presencial-excel-intermedioavanzado/1885613638
120,Instituto del corazón de bucaramanga sa,Médico hospitalario - bucaramanga,"$4 a $4,5 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/medico-hospitalario-bucaramanga/1885613640
121,Baco foods Colombia,Auxiliar logístico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-logistico/1885613631
122,AGM DESARROLLOS SAS,Aprendiz contable,"$1 a $1,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-contable/1885613648
123,EXPRESO VIAJES Y TURISMO SAS,Asesor de viajes vacacional,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-viajes-vacacional/1885613652
124,Servicio Inglés SAS,Técnico mecánico automotriz,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-mecanico-automotriz/1885613633
125,INTER RAPIDISIMO,Oficial de cumplimiento,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/oficial-de-cumplimiento/1885613655
126,EDITORA TKE LEARNING COLOMBIA SAS,Ejecutivo recaudo- bogota,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-recaudo-bogota/1885613647
127,Empresa confidencial,Lider de diseño y comunicación organizacional,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lider-de-diseno-y-comunicacion-organizacional/1885613766
128,Empresa confidencial,Agente de mesa de ayuda,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-de-mesa-de-ayuda/1885613741
129,Crane & Lifting SAS,Ingeniero operativo (inspector - examinador - conferencista),Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-operativo-inspector-examinador-conferencista/1885222742
130,Sercofun Los Olivos,Gestor comercial,"$1 a $1,5 millones",Santander de Quilichao,https://www.elempleo.com/co/ofertas-trabajo/gestor-comercial/1885366866
131,Empresa confidencial,Supervisor de ventas ibague,$8 a $10 millones,Ibagué,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-ventas-ibague/1885613262
132,SUPER AUDIO SA,Auxiliar contable y administrativa,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable-y-administrativa/1885572409
133,Servicio de empleo Comfama,Asesor/a comercial senior 1626208590.31,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-a-comercial-senior-162620859031/1885613773
134,CONINSA RAMON H. S,Asistente de atraccion y seleccion de talentos,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-atraccion-y-seleccion-de-talentos/1885613781
135,EMTELCO,Ejecutivo de ventas empresariales - excelentes comisiones!,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-ventas-empresariales-excelentes-comisiones/1885612809
136,INTERACTIVO CONTACT CENTER S.A,Trabaja de lunes a sabado // asesor call center,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/trabaja-de-lunes-a-sabado----asesor-call-center/1885612810
137,Empresa confidencial,Marketing executives,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/marketing-executives/1885612804
138,EDITORA TKE LEARNING COLOMBIA SAS,Desarrollador comercial y de marketing,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-comercial-y-de-marketing/1885612802
139,Empresa confidencial,"Supervisores logisticos transportes, logistica y rampa bogotá","$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisores-logisticos-transportes-logistica-y-rampa-bogota/1885612798
140,ADECCO COLOMBIA S A,Atención al cliente trilingue / 3.100.000 + 38 días de vacaciones/descansa 2 días bogotá,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/atencion-al-cliente-trilingue---3100000-38-dias-de-vacaciones-descansa-2-dias-bogota/1885612824
141,PREBEL S.A.,Representante de ventas pereira,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/representante-de-ventas-pereira/1885612825
142,Politecnico Grancolombiano,Auxiliar de contabilidad temporal - bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-contabilidad-temporal-bogota/1885612831
143,Empresa confidencial,Digitadora / bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/digitadora---bogota/1885612823
144,Empresa confidencial,Digital trafficker,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/digital-trafficker/1885612830
145,Empresa confidencial,Ejecutivo de cuenta senior apertura clientes,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-cuenta-senior-apertura-clientes/1885612799
146,Empresa confidencial,Analista administrativa y contable 100% presencial bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-administrativa-y-contable-100-presencial-bogota/1885612820
147,FINCA S.A.,Auxiliar bodega bpt,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-bodega-bpt/1885551840
148,Empresa confidencial,Asistente de operaciones administrativas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-operaciones-administrativas/1885612841
149,Empresa confidencial,Auxiliar de impuestos,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-impuestos/1885612843
150,Empresa confidencial,Ingeniero de conectividad redes lan/wan,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-conectividad-redes-lan-wan/1885613409
151,Empresa confidencial,Analista de soporte sogamoso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-soporte-sogamoso/1885429833
